iter	Passed	Remaining
0	1	170
1	3	192
2	5	186
3	6	164
4	8	153
5	9	145
6	10	140
7	11	136
8	13	132
9	14	128
10	15	124
11	16	122
12	17	119
13	19	117
14	20	115
15	21	112
16	22	110
17	23	108
18	25	107
19	26	105
20	27	104
21	28	102
22	30	100
23	31	99
24	32	97
25	33	96
26	35	94
27	36	93
28	37	92
29	39	91
30	40	89
31	41	88
32	42	87
33	44	85
34	45	84
35	46	82
36	47	81
37	49	80
38	50	78
39	51	77
40	52	75
41	53	73
42	54	72
43	55	70
44	56	69
45	58	68
46	59	66
47	60	65
48	61	64
49	63	63
50	64	61
51	65	60
52	67	59
53	68	58
54	69	56
55	70	55
56	71	53
57	72	52
58	74	51
59	75	50
60	77	49
61	78	47
62	79	46
63	80	45
64	81	44
65	83	42
66	84	41
67	85	40
68	86	39
69	88	37
70	89	36
71	90	35
72	91	33
73	93	32
74	94	31
75	95	30
76	96	28
77	97	27
78	98	26
79	100	25
80	101	23
81	102	22
82	103	21
83	105	20
84	106	18
85	107	17
86	108	16
87	109	14
88	111	13
89	112	12
90	113	11
91	114	9
92	116	8
93	118	7
94	119	6
95	121	5
96	122	3
97	123	2
98	124	1
99	125	0
