iter	Passed	Remaining
0	198	197977
1	201	100303
2	203	67700
3	205	51258
4	209	41736
5	212	35277
6	215	30540
7	226	28065
8	231	25444
9	234	23170
10	238	21458
11	247	20362
12	254	19353
13	271	19131
14	277	18234
15	283	17404
16	287	16623
17	300	16393
18	306	15842
19	312	15334
20	315	14689
21	316	14089
22	326	13872
23	332	13516
24	337	13179
25	339	12736
26	342	12338
27	353	12261
28	355	11898
29	357	11561
30	360	11260
31	362	10980
32	365	10702
33	367	10440
34	369	10184
35	371	9951
36	380	9892
37	382	9673
38	383	9459
39	385	9254
40	387	9067
41	391	8920
42	393	8754
43	395	8591
44	397	8431
45	399	8280
46	404	8192
47	410	8134
48	412	8004
49	414	7881
50	418	7780
51	420	7666
52	423	7560
53	425	7455
54	427	7342
55	429	7237
56	436	7220
57	438	7119
58	440	7025
59	442	6933
60	444	6849
61	447	6767
62	449	6687
63	452	6614
64	455	6550
65	457	6474
66	465	6486
67	467	6410
68	471	6359
69	474	6298
70	476	6234
71	478	6167
72	480	6106
73	482	6039
74	484	5971
75	485	5905
76	487	5842
77	489	5786
78	491	5728
79	492	5669
80	494	5611
81	496	5553
82	497	5493
83	499	5452
84	502	5404
85	503	5355
86	505	5304
87	507	5254
88	508	5205
89	516	5220
90	517	5173
91	519	5125
92	520	5081
93	522	5036
94	524	4992
95	526	4955
96	528	4919
97	530	4886
98	532	4847
99	534	4811
100	536	4772
101	537	4733
102	541	4716
103	543	4686
104	545	4652
105	547	4618
106	549	4582
107	550	4547
108	552	4515
109	554	4488
110	556	4459
111	558	4429
112	560	4396
113	561	4363
114	563	4332
115	564	4301
116	565	4271
117	571	4273
118	573	4245
119	575	4217
120	576	4189
121	578	4162
122	581	4144
123	583	4122
124	586	4108
125	588	4082
126	589	4054
127	593	4043
128	614	4149
129	616	4127
130	618	4101
131	619	4075
132	621	4049
133	622	4024
134	624	3999
135	626	3979
136	628	3958
137	630	3936
138	631	3912
139	633	3889
140	634	3866
141	635	3840
142	638	3828
143	640	3809
144	642	3791
145	644	3769
146	646	3749
147	647	3729
148	649	3708
149	660	3741
150	661	3721
151	663	3701
152	664	3681
153	669	3676
154	671	3658
155	673	3642
156	675	3625
157	676	3606
158	678	3588
159	687	3608
160	688	3587
161	689	3567
162	691	3549
163	692	3530
164	694	3512
165	697	3501
166	699	3491
167	701	3474
168	703	3457
169	704	3441
170	706	3425
171	715	3444
172	717	3429
173	719	3415
174	721	3400
175	724	3394
176	727	3384
177	730	3373
178	732	3359
179	734	3344
180	735	3330
181	744	3347
182	747	3336
183	749	3325
184	754	3325
185	758	3321
186	760	3307
187	762	3293
188	764	3280
189	768	3274
190	769	3260
191	771	3244
192	772	3228
193	773	3213
194	774	3197
195	776	3183
196	777	3168
197	778	3153
198	779	3139
199	781	3126
200	783	3113
201	784	3100
202	786	3086
203	787	3072
204	788	3058
205	789	3044
206	791	3030
207	792	3017
208	793	3003
209	798	3004
210	800	2991
211	801	2978
212	802	2965
213	803	2952
214	805	2939
215	806	2927
216	807	2914
217	808	2902
218	810	2891
219	812	2881
220	814	2869
221	815	2857
222	816	2845
223	817	2833
224	819	2821
225	820	2810
226	821	2798
227	823	2787
228	825	2779
229	826	2767
230	828	2756
231	829	2745
232	830	2734
233	831	2723
234	833	2712
235	834	2701
236	838	2699
237	839	2689
238	841	2678
239	842	2668
240	843	2657
241	845	2647
